"geneName","SRR16633301","SRR16633302","SRR16633303","SRR16633304","SRR16633305","SRR16633306","SRR16633307","SRR16633308","SRR16633309","SRR16633310","SRR16633311","SRR16633312","SRR16633313","SRR16633314","SRR16633315","SRR16633316","SRR16633317","SRR16633318","SRR16633319","SRR16633320","SRR16633321","SRR16633322","SRR16633323","SRR16633324","SRR16633325","SRR16633326","SRR16633327","SRR16633328","SRR16633329","SRR16633330","SRR16633331","SRR16633332","SRR16633333","SRR16633334","SRR16633335","SRR16633336","SRR16633337","SRR16633338","SRR16633339","SRR16633340","SRR16633341","SRR16633342","SRR16633343","SRR16633344","SRR16633345","SRR16633346","SRR16633347","SRR16633348","SRR16633349","SRR16633350","SRR16633351","SRR16633352","SRR16633353","SRR16633354","SRR16633355","SRR16633356","SRR16633357","SRR16633358","SRR16633359","SRR16633360","SRR16633361","SRR16633362","SRR16633363","SRR16633364","SRR16633365","SRR16633366"
"KDM1A",2.38,0.34,0.22,0.37,0.37,0.24,0.31,2.19,0.38,0.13,0.36,0.71,0.45,0.46,0.36,1.46,0.15,0.3,0.78,5.27,0.38,1.82,0.87,0.95,1.72,0.42,0.15,0,0.72,0,0.57,0.15,0.27,1.67,0.18,0.1,0.59,0.21,0.64,0.32,0.23,0,1.91,1.6,1.14,1.62,3.54,1.1,2.87,0.23,0.42,1.19,0.29,0.29,0.22,0.15,0.14,1.7,0.04,0.87,2.79,0.42,4.02,0.3,0.31,0.91
"KDM5D",2.08,0.23,0.74,0.77,0.6,1.07,1.1,2.56,2.09,0,1.13,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.99,0.38,0.13,3.73,0.13,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KMT2C",11.8,12.47,9.86,39.5,18.02,20.16,19.7,24.38,24.94,24.25,19.99,42.01,21.61,20.14,13.57,35.21,18.78,8.97,26.86,56.94,60.98,50.25,17.47,27.9,16.48,18.45,14.75,25.85,26.19,26.45,13.69,12.79,21.5,26.33,13.22,21.61,14.2,15.75,25.28,17.7,8.89,18.08,20.13,18.21,21.42,33,31.5,43.56,23.2,26.74,28.27,33.43,20.35,28.04,26.09,41.16,14.69,30.89,15.83,25.68,48.2,15.88,35.54,44.45,32.24,23.2
"KDM5A",4.49,2.02,2.9,8.79,5.9,4.09,5.78,5.66,3.09,2.91,2.27,8.88,3.37,3.71,3.68,8.05,2.9,2.35,3.69,11.44,7.57,11.68,3.06,5.41,0.88,1.24,2.04,0.6,3.08,1.23,2.48,2.24,2.13,3.66,3.79,5.94,2.56,3.72,3.23,4.44,2.59,1.77,5.8,9.17,4.86,7.45,8.12,8.95,5.08,5.44,8.37,23.1,4.68,3.21,5.38,4.11,7.02,6.66,0.78,8.3,8.97,3.15,9.66,4.14,5.77,3.25
"SETD1A",1.16,0.14,0.05,0.03,0.02,0.02,0.17,0.74,0.13,0.06,0.11,0.62,0.17,0.13,0.07,0.87,0.02,0.18,0.37,3.26,0.07,0.22,0.44,0.45,0.03,0.03,0.34,0.06,0.47,0.39,0.15,0.02,0.15,0.65,0.02,0.05,0.18,0.04,0.09,0.04,0.03,0.05,1.35,0.52,0.43,0.49,1.16,0.9,1.11,0.11,0.3,0.39,0.09,0.03,0,0.49,0.07,1.03,0,0.36,0.74,0.12,1.78,0,0.18,0.58
"KDM5B",5.17,5.78,8.11,19.95,13.65,9.53,13.51,13.93,17.94,13.05,7.39,16.47,8.37,6.32,6.13,15.99,5.5,2.81,9.73,20.42,33.16,32.29,8.83,14.1,5.21,6.82,8.68,5.9,11.83,6.12,6.32,6.23,13.99,18.05,8.24,10.13,6.35,8.2,10.34,11.73,3.55,5.26,8.6,9.23,10.34,10.39,14.72,11,11.11,19.25,13.73,12.78,10.94,18.28,9.16,22.16,14.65,11.09,5.27,16.68,22.54,7.63,14.81,16.32,15.94,6.88
"KMT2A",2.37,2.06,2.02,2.29,4.22,3.72,3.25,3.6,3.08,2.32,2.04,5.01,2.25,2.98,2.04,3.44,1.03,1.28,3.44,10.7,6.37,6.81,2.87,2.25,1.91,2.36,2.52,4.31,3.36,1.59,2.81,1.95,4.08,3.54,7.51,4.07,2.16,2.28,4.62,2.65,2.42,2.43,4.11,4.26,1.83,4.62,4.44,8.3,3.19,3.17,4.21,3.58,3.21,5.86,2.02,2.31,3.34,2.67,2.98,3.73,6.45,1.6,4.39,7.15,7.96,5.24
"KDM5C",8.22,8.28,9.08,14.39,9.64,16.43,14.31,14.52,12,9.9,10.42,29.3,17.74,16.17,10.97,24.36,13.95,7.5,26.61,38.31,55.27,28.94,16.69,15.29,10.34,13.7,13.59,22.4,13.06,15.24,18.43,15.41,19.04,23.48,10.7,18.03,9.77,15.73,19.53,12.72,9.44,19.35,19.67,28.98,20.14,22.03,23.43,30.15,14.79,26.68,17.23,17.53,18.07,16.68,23.65,35.1,31.29,22.34,26.74,31.07,31.17,15.81,30.53,27.98,20.24,19.02
"SETD1B",2.92,2.03,2.63,5.87,4.16,3.15,3.87,3.97,3.38,4.62,1.78,4.23,3.02,3.92,2.56,4.83,3.67,2.01,7.36,8.01,12.11,9.66,4.76,3.67,2.46,3.07,3.74,2.8,1.92,3.29,4.71,3.43,3.61,4.56,3.68,4.87,1.56,2.47,4.04,2.09,1.46,2.19,4.04,3.58,3.15,4.19,4.72,6.18,3.17,3.82,3.7,4.23,3.06,2.36,3,5.7,1.71,4.21,1.41,4.68,5.9,2.23,5.98,1.81,3.61,3.85
"KDM1B",1.14,0.24,0.22,1.82,0.16,0.67,0.3,2.17,0.2,0.88,0.37,1.31,0.5,0.47,0.28,1.62,0.03,0.32,0.56,1.85,0.34,0.94,0.48,0.9,0.94,0.42,0.4,0.36,0.44,0.55,0.34,0.38,0.22,1.4,0.09,1.82,0.44,0.03,0.46,0.42,0.16,0.34,1.28,1.86,1.44,1.06,2.31,0.77,1.06,0.75,0.51,3.02,0.5,0.18,0.29,2.04,0.45,0.87,0.16,1.09,2.35,0.56,2.85,0.47,0.25,1.11
"KMT2D",3.55,0.93,1.94,7.9,1.29,1.85,2.37,5.51,9.24,1.59,4.57,8.15,3.72,3.68,2.04,7.1,1.52,1.34,4.81,18.41,8.04,14.23,2.87,5.9,2.56,1.96,1.55,2.07,5.23,1.95,3.27,2.9,1.82,6.32,1.05,4.97,1.47,1.78,3.56,0.77,0.77,1.16,5.3,4.99,3.98,4.19,12,5.31,6.05,5.43,2.84,13.72,4.32,1.37,1.42,5.5,1.38,6.6,3.33,13.96,10.21,1.34,15.66,1.21,3.7,5.16
"KMT2B",1.68,1,0.82,3.63,0.98,1.95,2.2,2.97,3.74,2.69,2.85,5.32,1.94,2,1.27,3.88,1.25,1.15,2.22,9.21,4.5,11.93,1.52,2.52,1.74,2.2,1.68,2.93,2.05,1.59,1.83,1.5,1.74,2.86,1.23,4.89,1.14,1.45,1.95,0.99,0.85,0.53,3.11,3.66,1.66,2.86,5.1,3.6,3.04,3.16,2.48,3.33,2.16,1.78,2.06,3.36,2.09,3.13,1.9,2.65,5.32,1.22,5.84,0.94,3.06,2.7
